,0,1,2,3,4,5,6,7,8,9,10,11,12
67,0.0007656967840735069,-0.0007656967840735069,0.0,-0.0007656967840735069,0.0,0.0,0.0015313935681470138,-0.0007656967840735069,-0.0007656967840735069,0.0030627871362940277,0.0007656967840735069,0.0015313935681470138,0.0
68,-0.0029154518950437317,0.0,0.0,-0.0058309037900874635,0.0,0.0029154518950437317,-0.0029154518950437317,0.0,-0.0029154518950437317,0.0,0.0029154518950437317,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0019230769230769232,-0.0019230769230769232,0.0,-0.0019230769230769232,0.0,-0.0019230769230769232,0.0,-0.0038461538461538464,0.0019230769230769232,0.0
82,0.0,0.0,0.0,0.0,-0.003745318352059925,0.003745318352059925,0.003745318352059925,0.00749063670411985,-0.003745318352059925,0.0,0.0,0.011235955056179775,0.0
83,0.0,0.0,0.0,-0.004098360655737705,-0.004098360655737705,0.0,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.0
84,0.0,0.0,0.01098901098901099,0.007326007326007326,-0.003663003663003663,0.0,0.0,0.0,-0.003663003663003663,0.0,0.0,0.014652014652014652,0.0
97,0.0,0.0,0.003787878787878788,-0.003787878787878788,0.0,0.0,0.0,0.0,0.0,0.003787878787878788,-0.003787878787878788,0.003787878787878788,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.002145922746781116,0.0,0.0,0.006437768240343348,0.0,0.002145922746781116,0.0,0.0,0.004291845493562232,0.002145922746781116,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0028089887640449437,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005714285714285714,0.014285714285714285,0.0
116,-0.0031645569620253164,-0.0031645569620253164,0.0,0.0,0.0,0.0,0.0,0.0031645569620253164,0.0,0.0,-0.0031645569620253164,0.0031645569620253164,0.0
122,-0.002207505518763797,0.0,-0.002207505518763797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004415011037527594,0.0
123,0.0,0.0,0.00390625,0.0,-0.0009765625,0.0009765625,0.0009765625,0.0,-0.0029296875,0.0,-0.0009765625,0.00390625,0.0009765625
124,0.0,0.0,0.0,0.0,0.0,0.000791765637371338,0.0,0.0,0.000791765637371338,0.003167062549485352,-0.000791765637371338,0.000791765637371338,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,-0.0017985611510791368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00539568345323741,0.007194244604316547,0.0,0.0017985611510791368,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
