,id,title,company_id,intro,category_id,level,recommendPerson,tool,activity,time,grade,thumbnail,createdAt
1266,3872,타짜 - 마지막 게임,282,유명한 타짜인 내가 이렇게 돈을 다잃다니... 미스테리 고객의 비밀은..?,6,4,2,1,0,60,2.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/ec03aceb-8f1c-4a82-9621-6a99a47b9bf3.jpg,2023-05-05
1267,3873,비밀프로젝트 - 1급기밀 코드넘버 b901,282,북한 간부보다 먼저 대외비가 들어있는 가방을 탈취하라.,4,4,2,1,1,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/27d72799-6fef-4891-88f8-a64aee58d0c4.jpg,2023-05-05
1268,3874,신입사원 - 업무일지의 비밀,282,회사의 분위기가 심상치않다... 회사 내부에 무슨 문제가 있는지 찾아보자!,4,5,2,1,1,60,2.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/3ddd4bd9-62aa-4c90-bbc5-e64a7d4ffdae.jpg,2023-05-05
1269,3875,깜방탈출 : WAY OUT,825,DAY-1. 작전일을 하루 앞둔 나는 친구들과 함께 그간 준비한 계획을 마무리하려 한다.,4,4,2,1,2,75,4.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/f44bbd9a-2c8e-4c32-9c73-82918abafd50.jpg,2023-05-07
1270,3877,BACK TO THE SCENE+,831,"""선생님, 응급 환자 입니다! 서둘러 주세요!""",5,4,2,2,0,65,4.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/13603ce4-f603-49da-9aca-7aed46cb73de.jpg,2023-05-10
1271,3878,사계,453,"착착한 흑백의 시야위에 떨어진 물감처럼.

이제는 돌아갈 수 없는 컬러풀했던 그 계절들을 마지막으로 한번 들여다본다.",2,4,2,1,1,70,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/de34dd3e-7549-400e-9576-5f6c110b004c.jpg,2023-05-14
1272,3879,멸종위기종 탐사대,826,"[모집공고]
신비로운 미지의 섬, 브이 아일랜드에서 멸종위기종을 탐사할 수 있는 단 한번의 기회!

탐사 조건에 부합하는 유능한 지원자들께서는 망설이지말고 신청 바랍니다.

※ https://bravelab.modoo.at

* 3인 이상 플레이를 권장합니다.",18,4,3,2,2,65,4.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/cafe565a-3be2-47c1-b09b-320a8b21740a.png,2023-05-16
1273,3880,지난날,730,우리들의 행복했던 지난날,8,4,2,2,2,85,4.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/287f4657-0bee-47b1-ae68-66861faa1d04.png,2023-05-22
1274,3881,판도라 : PANDORA,832,"자물쇠가 걸린 상자를 보면 어떤 생각이 드시나요?
어떻게든 열어버리고 싶은 강한 욕망이 있으신가요?

저희는 호기심 많은 사람들을 찾고 있습니다.

여러분들이 그런 사람이라면 제가 찾던 사람들일 것 같군요.",5,4,3,2,1,80,4.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/544c6da6-31be-45ed-b3b6-0ab03bbab01d.png,2023-05-26
1275,3882,도넛살인사건,833,"사건현장에 떨어진 딸기크림과 빵가루의 양을 보니 범인은 면식범이 틀림없어.
탐정브레드맨의 이름을 걸고, 범인은 바로..!",7,4,3,1,1,60,4.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/1514f996-cf5d-4210-8730-6bb3f9c30a3f.jpg,2023-05-26
1276,3883,H.B.D : 해피버스데이,833,"누가 생일이시죠?
생일 파티는 하셔도 되는데 초는 위험하니까 절대 붙이시면 안 돼요~ 그럼 즐거운 시간 보내세요!",8,3,2,1,1,60,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/5d1ccca0-82d5-4c03-88d6-0aebabf513f4.jpg,2023-05-26
1277,3884,드림레일,699,"따뜻한 바람에 휩쓸려서 도착한 잡화점.
많은 물건들 속 '드림레일'의 이야기가 보여진다.",2,3,2,2,2,70,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/2530e202-3d02-4da7-b807-0c09b7496301.jpg,2023-05-27
1278,3885,검은 운명의 밤,834,"어둠을 잠식하는 붉은 달과
긴 잠에서 깨어나는 푸른 눈.

오늘, 운명의 수레바퀴가 돌아간다.",3,4,2,2,2,65,4.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/8b54a4bb-5f9a-4562-bf37-472e74b17acb.png,2023-05-31
1279,3886,유품정리사,835,"""어이. 정리사 양반 도착했수? 아유 좀 꺼림직해도 잘 좀 부탁혀요 무슨 일 있으면 얘기하구. 끝나면 연락줘요.""",1,4,3,1,2,90,4.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/cf0414f4-4d05-4c1e-af66-281987861e1d.jpg,2023-06-03
1280,3887,램프(LAMP),31,"""아~함.. 잘잤네... 음? 여긴.. 어디지?
아무것도.. 기억나지가 않아..
나는.. 누구였더라??""",3,3,2,2,0,50,3.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/cd60542c-8926-4e79-8ab2-506d31be948e.jpg,2023-06-09
1281,3889,EVEREST,836,메타버스 시스템 EVEREST의 오픈베타 서비스에 여러분을 초대합니다.,13,4,4,2,1,240,4.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/d022c1e1-7b78-4bed-9144-ef1730be1c5b.jpg,2023-06-10
1282,3890,IMAGINE,752,""" What's In Your Head? """,11,3,2,2,1,70,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/9bfefa95-f016-4ad2-afec-74e25cd1234d.png,2023-06-14
1283,3891,LINK 2,657,LINK 그 두번째 이야기 .....,4,4,2,2,2,80,4.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b9604ab3-de0e-4016-9ae2-1a241b668b8e.png,2023-06-22
1284,3892,EP3 : 눈 먼 귀금속상인의 후회,668,"오늘도... 출근... 완료
한바탕 돌아다니고 와서 그런가
괜히 더 따분한 기분이네

뭐 재밌는 일 또 없나?",5,3,2,1,2,70,4.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/60a6b2b4-f0c5-4b76-9469-aee9f94d5ed1.jpg,2023-06-29
1285,3893,트라이앵글,835,거리에서 사람들이 사라지고 있다. 나는 보험조사관으로서 실종자들을 찾아야한다.,6,2,3,1,1,90,4.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/ffa821a0-2f0f-450b-9465-db9978959dd1.jpg,2023-07-01
1286,3896,난 그저 여행만 했을 뿐인데..,837,"난 그저 여행만 했을 뿐인데, 이 곳은 대체 어디지? 무엇인가 크게 잘못 되었다...",5,3,2,0,2,70,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/9730a1a8-1a31-40ac-afea-4fee687acfde.jpg,2023-07-18
1287,3897,G.A.S.A.,837,항공우주국 G.A.S.A.의 미래자원연구부서 대원들이 새로운 자원을 찾아 우주로 파견을 떠났다. 그러던 중 갑자기 연락 신호가 사라졌는데... G.A.S.A.의 helper들이 그들을 구조하고 그들의 임무를 완수하기 위해 나섰다.,13,3,2,0,2,70,4.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/9bd118d7-7ea2-4373-9a74-660ec93e9bc3.jpg,2023-07-18
1288,3898,파커랜드,837,안녕하세요. 김파커 입니다. 여러분을 파커랜드로 초대합니다.,2,3,2,0,2,70,4.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b22fbfe5-5f06-4006-94bb-3bfc7b3797b3.jpg,2023-07-18
1289,3899,아틀라스(ATLAS),837,커뮤니티에 사라진 전설의 도시를 찾았다는 글이 올라왔다. 전설에 따르면 그 곳에만 존재하는 희귀한 보물이 있다고 한다. 다들 말도 안되는 이야기라며 무시했지만 혹시..?,18,3,2,0,2,70,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/20278a25-ec36-49e7-ba0a-a2c20204a11f.jpg,2023-07-18
1290,3900,"The last episode:마지막 화(話,禍)",838,"[다녀올 곳이 있어, 오래걸리지 않을거야.]

언니는 이 말을 끝으로 만날 수 없었다.
나는 언니를 찾으러 발걸음을 옮겼다.",12,3,2,1,1,70,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/ff6ae773-b6e2-4af7-b6d9-e3dbec0d40f0.jpg,2023-07-21
1291,3901,빈집,458,오빠! 나 진짜 너무너무 급해서 그러는데 혹시 지금 우리집에서 내 물건 몇개만 좀 회사로 가져다 줄 수 있어? 우리집 비밀번호는 말야....,1,3,2,1,1,60,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/75571c49-0826-4d11-a933-bb92f82dd23a.jpg,2023-07-21
1292,3902,학교 분신사바,780,"고등학교에 재학 중인 예슬과 그 일행
그들은 창고에서 기묘한 물건을 찾게 되는데...
학교에서 일어나는 무서운 이야기",8,4,2,2,0,40,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b73cbc0a-eb2e-4e25-b9fb-40e11428ea72.png,2023-07-27
1293,3903,ALIVE,825,"Humankind must put an end to war, or war will put an end to humankind
(인류가 전쟁을 끝내지 않으면, 전쟁이 인류를 끝낼 것이다)

※ 최소 인원 3인 / 최대 인원 4인
※ 활동성이 매우 높습니다. 편한 복장 추",1,4,4,2,2,80,4.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/58b1db55-94a8-4e97-b658-e096cf1d27b2.jpg,2023-07-29
1294,3904,리스키아르,839,돌아가신 할아버지의 모험 이야기,18,4,2,1,1,70,3.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/12ce0e5a-19be-4cd4-897e-72bb95ea4a9c.png,2023-08-01
1295,3905,DUMB,839,나도 이제 FLEX!,5,2,2,1,0,60,3.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/50913c89-71c0-4737-9ce8-8fc22994a411.png,2023-08-01
1296,3906,뜻밖의 재능,839,좌충우돌 코믹잠입!,11,3,2,1,0,60,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/aad4b38a-3f3a-4201-adfd-f0e5a4deba84.png,2023-08-01
1297,3907,매직아카데미,145,"혼자 있던 교실에 어느날 갑자기 허공에 나타난 문.
멍하니 문을 쳐다보고 있던 나는
갑자기 그곳으로 빨려들어가기 시작했다.

""....여기는 대체 어디야...?!""",3,5,2,1,1,80,3.2,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/1b0100e6-22c7-49eb-8a3f-670733cb3ae2.jpg,2023-08-01
