,0,1,2,3,4,5,6,7,8
3325,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0
3290,-1.0,1.0,0.8947368421052632,0.0,1.0,0.875,0.4166666666666667,0.75,1.0
3159,1.0,1.0,0.4,-1.0,1.0,1.0,-0.6666666666666666,0.9215686274509803,-1.0
3528,-0.14285714285714285,1.0,0.75,1.0,1.0,0.76,0.3333333333333333,0.8620689655172413,0.9661016949152542
1057,0.0,1.0,0.6595744680851063,-1.0,1.0,1.0,-0.5,0.6923076923076923,0.0
1059,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,-0.3333333333333333,1.0,0.0
3402,-0.5384615384615384,1.0,0.803921568627451,1.0,1.0,0.8571428571428571,0.3333333333333333,0.7894736842105263,-0.6
1836,0.0,0.8518518518518519,0.7857142857142857,0.0,1.0,1.0,-0.25,0.9166666666666666,0.5
1895,0.0,1.0,0.3333333333333333,-1.0,0.0,1.0,0.0,0.7142857142857143,0.0
400,0.0,1.0,0.0,-1.0,1.0,0.5,0.14285714285714285,0.8571428571428571,1.0
3365,0.0,0.9661016949152542,0.7,0.0,0.5555555555555556,0.9130434782608695,-0.5294117647058824,0.9166666666666666,0.42857142857142855
3305,0.07692307692307693,1.0,0.6842105263157895,0.0,1.0,1.0,0.4222222222222222,0.9279279279279279,0.5555555555555556
3442,-0.14285714285714285,0.8461538461538461,0.7777777777777778,-0.5,1.0,0.7647058823529411,-0.42857142857142855,0.8809523809523809,1.0
2197,-0.2,0.9523809523809523,0.8181818181818182,0.0,1.0,0.8666666666666667,0.19230769230769232,0.8309859154929577,0.75
183,-1.0,1.0,-0.17647058823529413,-1.0,1.0,0.7142857142857143,-1.0,0.5789473684210527,-1.0
169,0.0,1.0,0.7560975609756098,-1.0,1.0,0.3333333333333333,-0.7142857142857143,0.8181818181818182,0.3333333333333333
3144,-0.3333333333333333,0.7894736842105263,0.5135135135135135,1.0,1.0,1.0,0.42857142857142855,0.9130434782608695,-1.0
3583,-0.14285714285714285,1.0,0.6624203821656051,0.5,1.0,0.8974358974358975,0.1864406779661017,0.8823529411764706,0.8064516129032258
124,-1.0,1.0,-1.0,-1.0,1.0,0.6,-0.42857142857142855,0.4,1.0
2208,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,-0.7142857142857143,0.8,0.0
